ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
CBC3,Coles Bay,Clams,522,NP,>1,fibre,black,429.81,yes,,Polyester,7,Natural
CBC5,Coles Bay,Clams,523,NP,>1,fibre,clear,304.21,yes,,Cellulose,7,Natural
CBC5,Coles Bay,Clams,524,NP,>1,fibre,clear,3103.46,yes,,Cellulose,7,Natural
CBC5,Coles Bay,Clams,#839,NP,>1,fibre,orange,380.94,no ,dropped,,7,Synthetic
CBC6,Coles Bay,Clams,NA,NP,>1,NA,NA,NA,NA,,,7,NA
CBC11,Coles Bay,Clams,NA,NP,>1,NA,NA,NA,NA,,,7,NA
CBC12,Coles Bay,Clams,NA,NP,>1,NA,NA,NA,NA,,,7,NA
CBC13,Coles Bay,Clams,525,NP,>1,fibre,olive,1494.03,yes,"Good spectra but can't get a match
",Unknown,7,Synthetic
CBC14,Coles Bay,Clams,526,NP,>1,fibre,clear,531.42,yes,,Cellulose,7,Natural
CBC14,Coles Bay,Clams,527,NP,>1,fibre,clear,1127.75,yes,,Polyester,7,Synthetic
CBC15,Coles Bay,Clams,639,BB,>1,fibre,clear,1469.31,yes,,Cellulose,7,Natural
CBC15,Coles Bay,Clams,,BB,>1,fibre,black,954.71,no ,dropped,,7,Natural
CBC15,Coles Bay,Clams,640,BB,>1,fibre,blue,1344.26,yes,Probably denim,Cellulose,7,Natural
CBC15,Coles Bay,Clams,641,BB,>1,fibre,clear,1086.55,yes,,Polyester,7,Synthetic
EBC1,Elliot Bay,Clams,642,BB,>1,fibre,pink,2118.76,yes,,Cellulose,8,Natural
EBC2,Elliot Bay,Clams,NA,BB,>1,NA,NA,NA,NA,,,8,NA
EBC3,Elliot Bay,Clams,643,BB,>1,fibre,clear,845.41,yes,,Polyester,8,Synthetic
EBC3,Elliot Bay,Clams,644,BB,>1,fibre,blue,2374.13,yes,Probably denim,Cellulose,8,Natural
EBC5,Elliot Bay,Clams,649,BB,>1,fibre,blue,1843.88,yes,Probably denim,Cellulose,8,Natural
EBC5,Elliot Bay,Clams,650,BB,>1,fibre,blue,4077.9,yes,Cellulose spectra and rayon structure,Rayon,8,Synthetic
EBC6,Elliot Bay,Clams,651,BB,>1,fibre,yellow green,3138.33,yes,,Cellulose,8,Natural
EBC6,Elliot Bay,Clams,652,BB,>1,fibre,pink,1004.99,yes,,Cellulose,8,Natural
EBC6,Elliot Bay,Clams,653,BB,>1,fibre,clear,1431.12,yes,,Wool,8,Synthetic
EBC6,Elliot Bay,Clams,654,BB,>1,fibre,blue,1343.53,yes,Probably denim,Cellulose,8,Natural
EBC6,Elliot Bay,Clams,655,BB,>1,fibre,clear,991.16,yes,,Polyester,8,Synthetic
EBC9,Elliot Bay,Clams,656,BB,>1,fibre,yellow,2323.48,yes,Spectra looks like wool but physically looks like a plant fiber,Unknown,8,Natural
EBC9,Elliot Bay,Clams,,BB,>1,fibre,clear,594.97,no,dropped,,8,Synthetic
EBC12,Elliot Bay,Clams,657,BB,>1,fibre,blue,769.92,yes,,Nylon,8,Synthetic
EBC12,Elliot Bay,Clams,658,BB,>1,fibre,green,484.18,yes,,"Cellulose
",8,Natural
EBC12,Elliot Bay,Clams,659,BB,>1,fibre,red,557.11,yes,,Polyester,8,Synthetic
EBC12,Elliot Bay,Clams,660,BB,>1,fibre,black,388.85,yes,Could not find for Raman,,8,Synthetic
EBC12,Elliot Bay,Clams,,BB,>1,fibre,pink,940.2,no,dropped,,8,Natural
EBC13,Elliot Bay,Clams,661,BB,>1,fibre,clear,907.02,yes,,Cellulose,8,Natural
EBC14,Elliot Bay,Clams,,BB,>1,fibre,pink,278.55,no,dropped,,8,Natural
EBC14,Elliot Bay,Clams,662,BB,>1,fibre,clear,2308.43,yes,,Rayon,8,Natural
EBC15,Elliot Bay,Clams,NA,BB,>1,NA,NA,NA,NA,,,8,NA
CBC1,Coles Bay,Clams,NA,BB,>1,NA,NA,NA,NA,NA,,7,NA
CBC2,Coles Bay,Clams,NA,BB,>1,NA,NA,NA,NA,NA,,7,NA
CBC4,Coles Bay,Clams,NA,BB,>1,NA,NA,NA,NA,NA,,7,NA
CBC8,Coles Bay,Clams,1026,BB,>1,fiber,blue,3650.53,yes,,,7,Natural
CBC8,Coles Bay,Clams,1027,BB,>1,fiber,blue,487.76,yes,,,7,Synthetic
CBC9,Coles Bay,Clams,1028,BB,>1,fiber,black,3842.69,yes,,,7,Natural
CBC9,Coles Bay,Clams,,BB,>1,fiber,red,1028.68,no,dropped,,7,Natural
CBC9,Coles Bay,Clams,1029,BB,>1,fiber,clear,1030.98,yes,,,7,Natural
EBC4,Elliot Bay,Clams,1030,BB,>1,fiber,purple,6139.27,yes,,,8,Synthetic
EBC4,Elliot Bay,Clams,1031,BB,>1,fiber,brown,1006.82,no,dropped,,8,Synthetic
EBC4,Elliot Bay,Clams,1032,BB,>1,fiber,clear,928.66,yes,,,8,Synthetic
EBC7,Elliot Bay,Clams,1032,BB,>1,fiber,black,2113.22,yes,,,8,Synthetic
EBC7,Elliot Bay,Clams,1033,BB,>1,fiber,olive,1157.51,yes,,,8,Synthetic
EBC8,Elliot Bay,Clams,1034,BB,>1,fiber,pink,2530,yes,,,8,Synthetic
EBC10,Elliot Bay,Clams,1035,BB,>1,fiber,yellow,1808.86,no,dropped,,8,Synthetic
EBC11,Elliot Bay,Clams,1035,BB,>1,fiber,yellow green,235.47,yes,,,8,Synthetic
