ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
EBCR1,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,2nd priority for Raman,,17,NA
EBCR2,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,don't need to Raman,,17,NA
EBCR3,Elliot Bay,Crabs,1,NP,>1 mm,fibre ,Blue,2950.87,,Probably denim,Cellulose,17,Natural
EBCR3,Elliot Bay,Crabs,2,NP,>1 mm,fibre,clear,2975.31,,Probably chitin,Cellulose,17,Natural
EBCR3,Elliot Bay,Crabs,4,NP,>1 mm,fibre,clear,4725.43,,,Wool,17,Natural
EBCR4,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,17,NA
EBCR5,Elliot Bay,Crabs,1,NP,>1 mm,fibre,brown,3086.33,,,,17,Natural
EBCR5,Elliot Bay,Crabs,2,NP,>1 mm,fibre,clear,3487.92,,,Cellulose,17,Natural
EBCR5,Elliot Bay,Crabs,3,NP,>1 mm,fibre,clear,1749.24,,,Cellulose,17,Natural
EBCR5,Elliot Bay,Crabs,5,NP,>1 mm,fibre,clear,2516.99,,,Cellulose,17,Natural
EBCR6,Elliot Bay,Crabs,1,NP,>1 mm,fibre,Clear,5073.32,,,Cellulose,17,Natural
EBCR6,Elliot Bay,Crabs,2,NP,>1 mm,fibre,Clear,1513.95,,,Cellulose,17,Natural
EBCR6,Elliot Bay,Crabs,3,NP,>1 mm,fibre,Brown,1878.44,,,,17,Natural
EBCR7,Elliot Bay,Crabs,1,NP,>1 mm,fibre,Clear,671.52,,Could not find for raman,,17,Natural
EBCR7,Elliot Bay,Crabs,2,NP,>1 mm,fibre,Blue,2892.28,,,Cellulose,17,Natural
EBCR7,Elliot Bay,Crabs,3,NP,>1 mm,fibre,Purple,985.18,,,Cellulose,17,Natural
EBCR7,Elliot Bay,Crabs,4,NP,>1 mm,fibre,Black,1063.8,,,Cellulose,17,Natural
EBCR8,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,17,NA
EBCR9,Elliot Bay,Crabs,1,NP,>1 mm,fibre,Black,8255.39,,,Cellulose,17,Natural
EBCR10,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,17,NA
EBCR11,Elliot Bay,Crabs,NA,NA,NA,NA,NA,NA,,,,17,NA
EBCR12,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,17,NA
EBCR13,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,17,NA
EBCR14,Elliot Bay,Crabs,1,NP,>1 mm,fibre,Black,3667.73,,,Cellulose,17,Natural
EBCR15,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,17,NA
EBCR16,Elliot Bay,Crabs,1,NP,>1 mm,fibre,green,7415.18,,,Cellulose,17,Natural
EBCR16,Elliot Bay,Crabs,2,NP,>1 mm,fibre,purple,1423.29,,,Cellulose,17,Natural
EBCR16,Elliot Bay,Crabs,3,NP,>1 mm,fibre,clear,1490.79,,,Cellulose,17,Natural
EBCR16,Elliot Bay,Crabs,4,NP,>1 mm,fibre,purple,524.67,,,Cellulose,17,Natural
CBCR2,Coles Bay,Crabs,1,NP,>1 mm,fibre,Black,2668.88,,,Polyester,16,Synthetic
CBCR3,Coles Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,16,NA
CBCR4,Coles Bay,Crabs,1,NP,>1 mm,fibre,Black,1623.08,,,Cellulose,16,Natural
CBCR6,Coles Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,16,NA
CBCR7,Coles Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,16,NA
CBCR8,Coles Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,16,NA
CBCR9,Coles Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,16,NA
CBCR10,Coles Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,16,NA
CBCR11,Coles Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,16,NA
CBCR12,Coles Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,16,NA
CBCR13,Coles Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,16,NA
CBCR14,Coles Bay,Crabs,1,NP,>1 mm,fibre,clear,1534.02,,could not find for Raman,,16,Natural
CBCR15,Coles Bay,Crabs,1,NP,>1 mm,fibre,Clear,1130.05,,,,16,Natural
CBCR15,Coles Bay,Crabs,2,NP,>1 mm,fibre,Clear,818.97,,,,16,Natural
CBCR15,Coles Bay,Crabs,3,NP,>1 mm,fibre,Clear,985.29,,,,16,Natural
CBCR15,Coles Bay,Crabs,4,NP,>1 mm,fibre,Clear,1270.55,,,Acrylic,16,Synthetic
CBCR15,Coles Bay,Crabs,5,NP,>1 mm,fibre,Clear,934.65,,,,16,Natural
CBCR15,Coles Bay,Crabs,6,NP,>1 mm,fibre,Black,709.91,,,,16,Natural
