ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match
EBCR1,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,2nd priority for Raman,,
EBCR2,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,don't need to Raman,,
EBCR3,Elliot Bay,Crabs,1,NP,>1 mm,fibre ,Blue,2950.87,,Probably denim,Unknown,
EBCR3,Elliot Bay,Crabs,2,NP,>1 mm,fibre,clear,2975.31,,Probably chitin,Unknown,
EBCR3,Elliot Bay,Crabs,3,NP,>1 mm,fibre,black,5220.58,,,Unknown,
EBCR3,Elliot Bay,Crabs,4,NP,>1 mm,fibre,clear,4725.43,,,Wool,
EBCR3,Elliot Bay,Crabs,5,NP,>1 mm,fibre,black,1146.74,,,Unknown,
EBCR3,Elliot Bay,Crabs,6,NP,>1 mm,fibre,black,959.89,,,Unknown,
EBCR3,Elliot Bay,Crabs,7,NP,>1 mm,fibre,black,2297.15,,,Unknown,
EBCR3,Elliot Bay,Crabs,8,NP,>1 mm,fibre,black,1269.56,,,Unknown,
EBCR3,Elliot Bay,Crabs,9,NP,>1 mm,fibre,black,2384.88,,,Unknown,
EBCR3,Elliot Bay,Crabs,10,NP,>1 mm,fibre,black,1626.1,,,Unknown,
EBCR3,Elliot Bay,Crabs,11,NP,>1 mm,fibre,black,957.6,,,Unknown,
EBCR3,Elliot Bay,Crabs,12,NP,>1 mm,fibre,black,675.27,,,,
EBCR3,Elliot Bay,Crabs,13,NP,>1 mm,fibre,clear,979.17,,`,,
EBCR3,Elliot Bay,Crabs,14,NP,>1 mm,fibre,black,2451.97,,,Unknown,
EBCR3,Elliot Bay,Crabs,15,NP,>1 mm,fibre,clear,892.83,,,Unknown,
EBCR3,Elliot Bay,Crabs,16,NP,>1 mm,fibre,black,1880.39,,,Unknown,
EBCR4,Elliot Bay,Crabs,NA,NP,>1 mm,NA,NA,NA,,,,
EBCR5,Elliot Bay,Crabs,1,NP,>1 mm,fibre,brown,3086.33,,,,
EBCR5,Elliot Bay,Crabs,2,NP,>1 mm,fibre,clear,3487.92,,,Cellulose,
EBCR5,Elliot Bay,Crabs,3,NP,>1 mm,fibre,clear,1749.24,,,Cellulose,
EBCR5,Elliot Bay,Crabs,4,NP,>1 mm,fibre,clear,1974.82,,Probably chitin,Unknown,
EBCR5,Elliot Bay,Crabs,5,NP,>1 mm,fibre,clear,2516.99,,,Cellulose,
EBCR6,Elliot Bay,Crabs,1,NP,>1 mm,fibre,Clear,5073.32,,,Dye,
EBCR6,Elliot Bay,Crabs,2,NP,>1 mm,fibre,Clear,1513.95,,,Cellulose,
