ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
CBFF1,Coles Bay,Flatfish Guts,NA,NA,>150,NA,NA,NA,NA,NA,,31,NA
CBFF10,Coles Bay,Flatfish Guts,386,NP,>150,fibre,orange,417.59,yes,,Cellulose,31,NA
CBFF11,Coles Bay,Flatfish Guts,387,NP,>150,fibre,clear,8614.33,yes,,Polyester,31,S
CBFF12,Coles Bay,Flatfish Guts,388,NP,>150,fibre,pink,1252.51,yes,,Nylon,31,S
CBFF12,Coles Bay,Flatfish Guts,389,NP,>150,fibre,blue,749.2,yes,,Cellulose,31,N
CBFF13,Coles Bay,Flatfish Guts,#825,NP,>150,fibre,clear,979.58,no,dropped,,31,S
CBFF13,Coles Bay,Flatfish Guts,390,NP,>150,fibre,red,447.05,yes,,Cellulose,31,S
CBFF13,Coles Bay,Flatfish Guts,391,NP,>150,fibre,blue,7491.2,yes,Too much fluorescence to get a good sigNAture,Unknown,31,S
CBFF13,Coles Bay,Flatfish Guts,392,NP,>150,fibre,red,900.88,yes,,Cellulose,31,S
CBFF14,Coles Bay,Flatfish Guts,393,NP,>150,fibre,blue,530.31,yes,,Polyester,31,S
CBFF15,Coles Bay,Flatfish Guts,394,NP,>150,fibre,black,681.81,yes,,Polyester,31,S
CBFF2,Coles Bay,Flatfish Guts,NA,NA,>150,NA,NA,NA,NA,NA,,31,NA
CBFF3,Coles Bay,Flatfish Guts,NA,NA,>150,NA,NA,NA,NA,NA,,31,NA
CBFF4,Coles Bay,Flatfish Guts,395,NP,>150,fibre,clear,440.53,yes,,Polyester,31,S
CBFF5,Coles Bay,Flatfish Guts,396,NP,>150,fibre,clear,1159.15,yes,,Wool,31,S
CBFF5,Coles Bay,Flatfish Guts,397,NP,>150,fibre,red,1126.63,yes,,Polyester,31,S
CBFF6,Coles Bay,Flatfish Guts,NA,NA,>150,NA,NA,NA,NA,NA,,31,NA
CBFF7,Coles Bay,Flatfish Guts,398,NP,>150,fibre,clear,935.54,yes,,Polyester,31,S
CBFF7,Coles Bay,Flatfish Guts,399,NP,>150,fibre,pink,6473.73,yes,Cellulose sigNAture and has physical structure of Rayon,Rayon,31,S
CBFF9,Coles Bay,Flatfish Guts,385,NP,>150,fibre,blue,505.43,yes,,Cellulose,31,S
CBFF8,Coles Bay,Flatfish Guts,NA,NA,>150,NA,NA,NA,NA,NA,,31,NA
CBFF1,Coles Bay,Flatfish Guts,749,BB,1-150,fibre,blue,312.93,yes,,Cellulose,31,N
CBFF1,Coles Bay,Flatfish Guts,750,BB,1-150,fibre,blue,342.83,yes,,Polyester,31,S
CBFF1,Coles Bay,Flatfish Guts,751,BB,1-150,fibre,blue,219.58,yes,Probably denim,Cellulose,31,S
CBFF1,Coles Bay,Flatfish Guts,,BB,1-150,fibre,orange,492.07,no,dropped,,31,S
CBFF1,Coles Bay,Flatfish Guts,752,BB,1-150,fibre,blue,931.14,yes,,Cellulose,31,N
CBFF2,Coles Bay,Flatfish Guts,753,BB,1-150,fibre,yellow,526.42,yes,Can't get a good spectral match,Unknown,31,S
CBFF2,Coles Bay,Flatfish Guts,754,BB,1-150,fibre,blue,451.96,yes,,Cellulose,31,S
CBFF2,Coles Bay,Flatfish Guts,755,BB,1-150,fibre,blue,948.14,yes,Probably denim,Cellulose,31,N
CBFF2,Coles Bay,Flatfish Guts,756,BB,1-150,fibre,clear,716.12,yes,,Polyester,31,S
CBFF2,Coles Bay,Flatfish Guts,757,BB,1-150,fibre,black,985.24,yes,,Polyester,31,S
CBFF2,Coles Bay,Flatfish Guts,,BB,1-150,fibre,purple,393.68,no,dropped,,31,S
CBFF2,Coles Bay,Flatfish Guts,758,BB,1-150,fibre,red,556.41,yes,,Cellulose,31,N
CBFF3,Coles Bay,Flatfish Guts,759,BB,1-150,fibre,black,454.09,yes,,Polyester,31,S
CBFF3,Coles Bay,Flatfish Guts,,BB,1-150,fibre,black,735.59,no,dropped,,31,S
CBFF3,Coles Bay,Flatfish Guts,760,BB,1-150,fibre,blue,962.16,yes,,Cellulose,31,N
CBFF3,Coles Bay,Flatfish Guts,761,BB,1-150,fibre,green,905.69,yes,,Polyester,31,S
CBFF6,Coles Bay,Flatfish Guts,762,BB,1-150,fibre,yellow,874.18,yes,Can't get good match with spectra,Unknown,31,N
CBFF6,Coles Bay,Flatfish Guts,763,BB,1-150,fibre,black,532.81,yes,,Unknown,31,S
CBFF6,Coles Bay,Flatfish Guts,764,BB,1-150,fibre,red,245.29,yes,Could not find for Raman,,31,S
CBFF6,Coles Bay,Flatfish Guts,765,BB,1-150,fibre,blue,2927.35,yes,Too much fluorescence to get a good spectra,Unknown,31,S
CBFF6,Coles Bay,Flatfish Guts,766,BB,1-150,fibre,blue,420.42,yes,,Cellulose,31,S
CBFF7,Coles Bay,Flatfish Guts,,BB,1-150,fibre,blue,312.91,no, dropped,,31,S
CBFF7,Coles Bay,Flatfish Guts,767,BB,1-150,fibre,brown,595.06,yes,Can't get a good spectra without burning,Unknown,31,S
CBFF7,Coles Bay,Flatfish Guts,768,BB,1-150,fibre,red,2069.64,yes,,Polyester,31,S
CBFF9,Coles Bay,Flatfish Guts,769,BB,1-150,fibre,blue,2813.83,yes,,Cellulose,31,N
CBFF9,Coles Bay,Flatfish Guts,770,BB,1-150,fibre,black,803.08,yes,,Cellulose,31,S
