ID,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID
LB-7-17-18,Lab Blank,927,BB,,fragment,green,202.76,yes,*sample broke in trasfer (both pieces on double sided tape),Dye
LB-7-17-18,Lab Blank,928,BB,,fiber,clear,647.1,yes,,Polyester
LB-7-18-18,Lab Blank,929,BB,,fiber,black,3397.92,yes,,Cellulose
LB-7-24-18,Lab Blank,930,BB,,fiber,green,2005.88,yes,,Dye
LB-8-11-18,Lab Blank,931,BB,,fiber,clear,1367.93,yes,,Cellulose
LB-8-11-18,Lab Blank,932,BB,,fiber,red,330.94,yes,,Cellulose
LB-8-13-18,Lab Blank,NA,BB,,NA,NA,NA,NA,,"
"
LFH-8-21-18,Laminar Flow Hood Blank,933,BB,,fiber,blue,1332.32,yes,Could be denim,Unknown
LFH-8-22-18,Laminar Flow Hood Blank,934,BB,,fiber,purple,2108.64,yes,*labelled 8-22-19,Dye
LFH-8-27-18,Laminar Flow Hood Blank,NA,BB,,NA,NA,NA,NA,*labelled 8-27-19,
LFH-9-10-18,Laminar Flow Hood Blank,NA,BB,,NA,NA,NA,NA,,
LFH-12-4-18,Laminar Flow Hood Blank,NA,BB,,NA,NA,NA,NA,*labelled 12-4-19,
LFH-2-6-19,Laminar Flow Hood Blank,NA,BB,,NA,NA,NA,NA,,
LFH-2-19-19,Laminar Flow Hood Blank,NA,BB,,NA,NA,NA,NA,,
LFH-2-25-19,Laminar Flow Hood Blank,NA,BB,,NA,NA,NA,NA,,
LFH-2-27-19,Laminar Flow Hood Blank,935,BB,,fiber,black,713.91,yes,,Polypropylene
LFH-3-1-19,Laminar Flow Hood Blank,936,BB,,fiber,blue,573.21,yes,,Cellulose
LFH-3-6-19,Laminar Flow Hood Blank,,BB,,fiber,green,166.58,no,dropped,
LFH-3-25-19,Laminar Flow Hood Blank,NA,BB,,NA,NA,NA,NA,,
LFH-6-9-19,Laminar Flow Hood Blank,937,BB,,fiber,blue,288.41,yes,Could be denim,Cellulose
LFH-6-22-19,Laminar Flow Hood Blank,938,BB,,fiber,green,1106.5,yes,,Cellulose
LFH-7-18-19,Laminar Flow Hood Blank,NA,BB,,NA,NA,NA,NA,,
LFH-8-6-19,Laminar Flow Hood Blank,NA,BB,,NA,NA,NA,NA,,
LB-7-13-18,Lab Blank,1116,GC,,fiber,clear,437.67,yes,,
LB-7-14-18,Lab Blank,1117,GC,,fiber,blue,1685.27,yes,,
LB-7-14-18,Lab Blank,1118,GC,,fiber,blue,467.08,yes,,
LB-7-14-18,Lab Blank,,GC,,fiber,pink,698.16,no,dropped,
LB-7-14-18,Lab Blank,1119,GC,,fiber,pink,685.65,yes,,
LB-7-14-18,Lab Blank,,GC,,fiber,blue,438.47,no,dropped,
LB-7-14-18,Lab Blank,,GC,,fiber,blue,1024.57,no,dropped,
LB-7-16-18,Lab Blank,1120,GC,,fiber,clear,2095.57,yes,,
LB-8-12-18,Lab Blank,1121,GC,,fiber,blue,197.2,yes,,
LB-8-12-18,Lab Blank,,GC,,fiber,black,591.63,no,dropped,
LB-8-12-18,Lab Blank,1122,GC,,fiber,blue,1078.67,yes,,
LB-8-12-18,Lab Blank,1123,GC,,fiber,clear,1625.62,yes,,
LB-8-12-18,Lab Blank,1124,GC,,fiber,blue,1084.69,yes,,
LB-8-14-18,Lab Blank,,GC,,NA,NA,NA,NA,,
LFH-10-29-18,Laminar Flow Hood Blank,,GC,,NA,NA,NA,NA,,
LFH-1-15-19,Laminar Flow Hood Blank,,GC,,fiber,red,336.24,yes,,
LFH-1-21-19,Laminar Flow Hood Blank,,GC,,NA,NA,NA,NA,,
