ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match
CBMU1,Cole's Bay,Mussels,528,BB,Jan-00,fibre,clear,1294.55,Yes,,Cellulose,1
CBMU1,Cole's Bay,Mussels,529,BB,Jan-00,fibre,blue,1327.06,Yes,probably denim,Unknown,1
CBMU1,Cole's Bay,Mussels,530,BB,Jan-00,fibre,clear,1360.68,Yes,,Cellulose,1
CBMU2,Cole's Bay,Mussels,531,BB,Jan-00,fibre,clear,516.5,yes,,Cellulose,1
CBMU2,Cole's Bay,Mussels,532,BB,Jan-00,fibre,red,499.47,yes,,Cellulose,1
CBMU2,Cole's Bay,Mussels,533,BB,Jan-00,fibre,blue,1357.42,yes,probably denim,Unknown,1
CBMU2,Cole's Bay,Mussels,534,BB,Jan-00,fibre,clear,1407.75,yes,too much fluorescence to get a good spectra,Unknown,1
CBMU2,Cole's Bay,Mussels,535,BB,Jan-00,fibre,red,683.57,yes,,Cellulose,1
CBMU4,Cole's Bay,Mussels,NA,BB,Jan-00,NA,NA,NA,NA,,,1
CBMU5,Cole's Bay,Mussels,536,BB,Jan-00,fibre,clear,506.09,yes,,Cellulose,1
CBMU5,Cole's Bay,Mussels,537,BB,Jan-00,fibre,clear,722.29,yes,,Cellulose,1
CBMU5,Cole's Bay,Mussels,538,BB,Jan-00,fibre,clear,484.12,yes,could not find for Raman,,1
CBMU5,Cole's Bay,Mussels,539,BB,Jan-00,fibre,clear,2217.67,yes,,Cellulose,1
CBMU6,Cole's Bay,Mussels,540,BB,Jan-00,fibre,clear,2594.58,yes,,Cellulose,1
CBMU6,Cole's Bay,Mussels,541,BB,Jan-00,fibre,"clear
",434.63,yes,,Cellulose,1
CBMU8,Cole's Bay,Mussels,542,BB,Jan-00,fibre,clear,631.47,yes,,Cellulose,1
CBMU8,Cole's Bay,Mussels,543,BB,Jan-00,fibre,clear,1047.21,yes,,Cellulose,1
CBMU8,Cole's Bay,Mussels,544,BB,Jan-00,fibre,blue,894.09,yes,,Polyester,1
CBMU8,Cole's Bay,Mussels,545,BB,Jan-00,fibre,clear,734.58,yes,,Cellulose,1
CBMU8,Cole's Bay,Mussels,546,BB,Jan-00,fibre,clear,466.5,yes,,Nylon,1
CBMU8,Cole's Bay,Mussels,547,BB,Jan-00,fibre,clear,770.78,yes,,Cellulose,1
CBMU8,Cole's Bay,Mussels,548,BB,Jan-00,fibre,clear,939.54,yes,,Cellulose,1
CBMU8,Cole's Bay,Mussels,549,BB,Jan-00,fragment,red,225.67,yes,,Cellulose,1
CBMU9,Cole's Bay,Mussels,550,BB,Jan-00,fibre,clear,719.55,yes,,Cellulose,1
CBMU9,Cole's Bay,Mussels,551,BB,Jan-00,fibre,clear,646.16,yes,,Cellulose,1
CBMU9,Cole's Bay,Mussels,552,BB,Jan-00,fibre,blue,693.5,yes,,Dye,1
CBMU9,Cole's Bay,Mussels,553,BB,Jan-00,fibre,clear,733.57,yes,,Wool,1
CBMU12,Cole's Bay,Mussels,554,BB,Jan-00,fibre,clear,456.46,yes,"Too much fluorescence to get a good spectra
",Polyester,1
CBMU12,Cole's Bay,Mussels,555,BB,Jan-00,fibre,clear,554.19,yes,,Cellulose,1
CBMU12,Cole's Bay,Mussels,556,BB,Jan-00,fibre,clear,6095.93,yes,*may be contaminent as it was not embedded in filter paper,Cellulosee,1
CBMU13,Cole's Bay,Mussels,,BB,Jan-00,fibre,clear,1531.06,no,dropped,,1
CBMU13,Cole's Bay,Mussels,557,BB,Jan-00,fibre,blue,1583.47,yes,,Dye,1
CBMU13,Cole's Bay,Mussels,558,BB,Jan-00,fibre,red,569.19,yes,,Cellulose,1
CBMU13,Cole's Bay,Mussels,559,BB,Jan-00,fibre,clear,713.37,yes,,Cellulose,1
CBMU13,Cole's Bay,Mussels,560,BB,Jan-00,fibre,pink,3035.35,yes,,Cellulose,1
CBMU15,Cole's Bay,Mussels,561,BB,Jan-00,fibre,clear,1838.58,yes,,Polyester,1
CBMU15,Cole's Bay,Mussels,562,BB,Jan-00,fibre,blue,682.43,yes,"Probably denim
",Unknown,1
CBMU15,Cole's Bay,Mussels,563,BB,Jan-00,fibre,clear,1695.91,yes,,Cellulose,1
CBMU15,Cole's Bay,Mussels,564,BB,Jan-00,fibre,black,1749.58,yes,,"Acrylic
",1
CBMU15,Cole's Bay,Mussels,565,BB,Jan-00,fibre,clear,652.17,yes,,Cellulose,1
CBMU15,Cole's Bay,Mussels,566,BB,Jan-00,fibre,clear,3654.26,yes,,Cellulose,1
CBMU15,Cole's Bay,Mussels,567,BB,Jan-00,fibre,clear,599.06,yes,,Cellulose,1
CBMU15,Cole's Bay,Mussels,568,BB,Jan-00,fibre,clear,2063.85,yes,,Cellulose,1
CBMU15,Cole's Bay,Mussels,569,BB,Jan-00,fibre,clear,2474.92,yes,,Cellulose,1
CBMU16,Cole's Bay,Mussels,570,BB,Jan-00,fibre,clear,520.02,yes,,Cellulose,1
CMBU16,Cole's Bay,Mussels,571,BB,Jan-00,fibre,clear,472.17,yes,,Polyester,1
CMBU16,Cole's Bay,Mussels,572,BB,Jan-00,fibre,clear,1762.12,yes,,Cellulose,1
CBMU17,Cole's Bay,Mussels,573,BB,Jan-00,fibre,red,465.24,yes,,Cellulose,1
CBMU17,Cole's Bay,Mussels,574,BB,Jan-00,fibre,red,1068.1,yes,,Cellulose,1
CBMU17,Cole's Bay,Mussels,575,BB,Jan-00,fibre,yellow,646.6,yes,,Nylon,1
CBMU17,Cole's Bay,Mussels,576,BB,Jan-00,fibre,clear,242.8,yes,,Cellulose,1
CMBU17,Cole's Bay,Mussels,577,BB,Jan-00,fibre,clear,1979.93,yes,,Cellulose,1
CMBU17,Cole's Bay,Mussels,578,BB,Jan-00,fibre,clear,1145.37,yes,,Cellulose,1
CMBU17,Cole's Bay,Mussels,579,BB,Jan-00,fibre,clear,1116.83,yes,,Cellulose,1
CMBU17,Cole's Bay,Mussels,580,BB,Jan-00,fibre,clear,1017.45,yes,,Cellulose,1
CMBU17,Cole's Bay,Mussels,581,BB,Jan-00,fibre,red,789.55,yes,,Cellulose,1
CMBU17,Cole's Bay,Mussels,582,BB,Jan-00,fibre,clear,650.17,yes,,Cellulose,1
CMBU17,Cole's Bay,Mussels,583,BB,Jan-00,fibre,red,1569.06,yes,,Cellulose,1
CBMU18,Cole's Bay,Mussels,584,BB,Jan-00,fibre,clear,1310.43,yes,,Cellulose,1
CBMU18,Cole's Bay,Mussels,n/a,BB,Jan-00,fibre,clear,307.33,no,dropped,,1
CBMU18,Cole's Bay,Mussels,585,BB,Jan-00,fibre,clear,934.68,yes,,Cellulose,1
CBMU18,Cole's Bay,Mussels,586,BB,Jan-00,fibre,clear,1240.09,yes,,Polyester,1
CBMU18,Cole's Bay,Mussels,587,BB,Jan-00,fibre,clear,1362.19,yes,,Rayon,1
CBMU18,Cole's Bay,Mussels,588,BB,Jan-00,fibre,blue,1422.26,yes,Probably denim,Unknown,1
CBMU19,Cole's Bay,Mussels,589,BB,Jan-00,fibre,blue,1329.27,yes,,Polyester,1
CBMU19,Cole's Bay,Mussels,590,BB,Jan-00,fibre,clear,759.15,yes,,Cellulose,1
CBMU19,Cole's Bay,Mussels,591,BB,Jan-00,fibre,clear,1282.44,yes,Too much fluorescenced to get a good signature,Unknown,1
CBMU19,Cole's Bay,Mussels,592,BB,Jan-00,fibre,red,564.12,yes,,Polyester,1
CBPB1,Cole's Bay,Blanks,NA,NA,Jan-00,NA,NA,NA,NA,NA,,1
CBPB2,Cole's Bay,Blanks,645,BB,Jan-00,fibre,black,618.31,yes,,Cellulose,1
EBMU1,Elliot Bay,Mussels,593,BB,Jan-00,fibre,clear,1208.17,yes,,Cellulose,2
EBMU3,Elliot Bay,Mussels,594,BB,Jan-00,fibre,clear,1632.75,yes,,Cellulose,2
