ID,site,sample.type,particle.number,aNAlyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
EBPJ1,Elliot Bay,Plankton Jars,449,NP,>1,fibre,black,523.54,yes,Can't get a good spectra without burning,Unknown,5,S
EBPJ1,Elliot Bay,Plankton Jars,450,NP,>1,fibre,blue,1696.29,yes,,Cellulose,5,S
EBPJ1,Elliot Bay,Plankton Jars,451,NP,>1,fibre,clear,1536.35,yes,,Polyester,5,S
EBPJ1,Elliot Bay,Plankton Jars,452,NP,>1,fibre,brown,2222.09,yes,,Polyester,5,S
EBPJ2,Elliot Bay,Plankton Jars,NA,NA,>1,NA,NA,NA,NA,,,5,NA
EBPJ3,Elliot Bay,Plankton Jars,NA,NA,>1,NA,NA,NA,NA,,,5,NA
CBPJ1,Coles Bay,Plankton Jars,453,NP,>1,fibre,blue,689.74,yes,p-(meta-Phylene terephthalamide),Kevlar,5,S
CBPJ1,Coles Bay,Plankton Jars,#833,NP,>1,fibre,black,260.95,yes,,,5,S
CBPJ3,Coles Bay,Plankton Jars,NA,NA,>1,NA,NA,NA,NA,,,5,NA
CBPJ4,Coles Bay,Plankton Jars,454,NP,>1,fibre,clear,2562.11,yes,,Polyester,5,S
HPPJ1,Victoria Harbour,Plankton Jars,NA,NA,>1,NA,NA,NA,NA,,,6,NA
HPPJ2,Victoria Harbour,Plankton Jars,455,NP,>1,fibre,clear,744.24,yes,,Polyester,6,S
HPPJ2,Victoria Harbour,Plankton Jars,456,NP,>1,fibre,blue,714.18,yes,,Cellulose,6,S
HPPJ3,Victoria Harbour,Plankton Jars,457,NP,>1,fibre,pink,4442.99,yes,,Polyester,6,S
HPPJ3,Victoria Harbour,Plankton Jars,458,NP,>1,fibre,black,587.34,yes,,Polyester,6,S
HPPJ3,Victoria Harbour,Plankton Jars,459,NP,>1,fibre,orange,12663.46,yes,,Polyester,6,S
HPPJ5,Victoria Harbour,Plankton Jars,460,NP,>1,fibre,green,318.15,yes,,Cellulose,6,S
HPPJ5,Victoria Harbour,Plankton Jars,461,NP,>1,fibre,blue,3058.19,yes,,Polyester,6,S
HPPJ5,Victoria Harbour,Plankton Jars,462,NP,>1,fibre,green,360.69,yes,,Cellulose,6,S
HPPJ5,Victoria Harbour,Plankton Jars,463,NP,>1,fibre,pink,3251.05,yes,,Wool,6,S
HPPJ5,Victoria Harbour,Plankton Jars,464,NP,>1,fibre,blue,572.75,yes,Could not find for Raman,,6,S
HPPJ5,Victoria Harbour,Plankton Jars,465,NP,>1,fibre,red,654.16,yes,,Polyester,6,S
HPPJ5,Victoria Harbour,Plankton Jars,466,NP,>1,fibre,pink,330.48,yes,,Polyester,6,S
Sep10PB1],,Blanks,467,NP,>1,fibre,blue,5201.65,yes,,Polyester,6,S
Sep10PB2],,Blanks,468,NP,>1,fibre,purple,2607.04,yes,,Cellulose,6,S
Sep10PB2],,Blanks,469,NP,>1,fibre,green,509.07,yes,Too much fluorescence to get a good sigNAture,Unknown,6,S
Sep10PB2],,Blanks,470,NP,>1,fibre,clear,882.78,yes,,Polyester,6,S
Sep10PB2],,Blanks,471,NP,>1,fibre,clear,1224.85,yes,Could not find for Raman,,6,S
Sep10PB2],,Blanks,472,NP,>1,fibre,clear,307.44,yes,,Cellulose,6,N
Sep10PB2],,Blanks,473,NP,>1,fibre,clear,369.66,yes,,Cellulose,6,N
Sep10PB2],,Blanks,474,NP,>1,fibre,clear,420.92,yes,,Cellulose,6,N
Sep10PB2],,Blanks,475,NP,>1,fibre,purple,1271.56,yes,,Cellulose,6,S
Sep10PB2],,Blanks,476,NP,>1,fibre,purple,360.31,yes,,Cellulose,6,S
Aug28PB2,,Blanks,NA,NA,>1,NA,NA,NA,NA,,,5,NA
Aug28PB3,,Blanks,477,NP,>1,fragment,rainbow,309.66,yes,,Polystyrene,5,S
