ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match
EBPJ1,Elliot Bay,Plankton Jars,449,NP,>1,fibre,black,523.54,yes,Can't get a good spectra without burning,Unknown,1
EBPJ1,Elliot Bay,Plankton Jars,450,NP,>1,fibre,blue,1696.29,yes,,Cellulose,1
EBPJ1,Elliot Bay,Plankton Jars,451,NP,>1,fibre,clear,1536.35,yes,,Polyester,1
EBPJ1,Elliot Bay,Plankton Jars,452,NP,>1,fibre,brown,2222.09,yes,,Polyester,1
EBPJ2,Elliot Bay,Plankton Jars,na,na,>1,na,na,na,na,,,1
EBPJ3,Elliot Bay,Plankton Jars,na,na,>1,na,na,na,na,,,1
CBPJ1,Coles Bay,Plankton Jars,453,NP,>1,fibre,blue,689.74,yes,p-(meta-Phylene terephthalamide),Kevlar,1
CBPJ1,Coles Bay,Plankton Jars,#833,NP,>1,fibre,black,260.95,yes,,,1
CBPJ3,Coles Bay,Plankton Jars,na,na,>1,na,na,na,na,,,1
CBPJ4,Coles Bay,Plankton Jars,454,NP,>1,fibre,clear,2562.11,yes,,Polyester,1
HPPJ1,Victoria Harbour,Plankton Jars,na,na,>1,na,na,na,na,,,2
HPPJ2,Victoria Harbour,Plankton Jars,455,NP,>1,fibre,clear,744.24,yes,,Polyester,2
HPPJ2,Victoria Harbour,Plankton Jars,456,NP,>1,fibre,blue,714.18,yes,,Cellulose,2
HPPJ3,Victoria Harbour,Plankton Jars,457,NP,>1,fibre,pink,4442.99,yes,,Polyester,2
HPPJ3,Victoria Harbour,Plankton Jars,458,NP,>1,fibre,black,587.34,yes,,Polyester,2
HPPJ3,Victoria Harbour,Plankton Jars,459,NP,>1,fibre,orange,12663.46,yes,,Polyester,2
HPPJ5,Victoria Harbour,Plankton Jars,460,NP,>1,fibre,green,318.15,yes,,Dye,2
HPPJ5,Victoria Harbour,Plankton Jars,461,NP,>1,fibre,blue,3058.19,yes,,Polyester,2
HPPJ5,Victoria Harbour,Plankton Jars,462,NP,>1,fibre,green,360.69,yes,,Dye,2
HPPJ5,Victoria Harbour,Plankton Jars,463,NP,>1,fibre,pink,3251.05,yes,,Wool,2
HPPJ5,Victoria Harbour,Plankton Jars,464,NP,>1,fibre,blue,572.75,yes,Could not find for Raman,,2
