ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
CBSS1,Coles Bay,Sea Stars,321,NP,>150,fibre,clear,305.95,yes,,Cellulose,19,S
CBSS1,Coles Bay,Sea Stars,322,NP,>150,fibre,clear,481.48,yes,,Cellulose,19,S
CBSS1,Coles Bay,Sea Stars,323,NP,>150,fibre,blue,229.14,yes,,Cellulose,19,N
CBSS1,Coles Bay,Sea Stars,324,NP,>150,fibre,clear,499.35,yes,,Cellulose,19,S
CBSS1,Coles Bay,Sea Stars,325,NP,>150,fibre,clear,453.43,yes,,Unknown,19,S
CBSS1,Coles Bay,Sea Stars,326,NP,>150,fibre,clear,1533.44,yes,,Polyester,19,S
CBSS2,Coles Bay,Sea Stars,327,NP,>150,fibre,brown,755.59,yes,,Unknown,19,S
CBSS3,Coles Bay,Sea Stars,328,NP,>150,fibre,red,143.31,yes,,Cellulose,19,S
CBSS3,Coles Bay,Sea Stars,329,NP,>150,fibre,clear,597.38,yes,,Polyester,19,S
CBSS4,Coles Bay,Sea Stars,330,NP,>150,fibre,black,381.96,yes,,Polyester,19,S
CBSS4,Coles Bay,Sea Stars,331,NP,>150,fibre,clear,766.29,yes,,Cellulose,19,S
CBSS4,Coles Bay,Sea Stars,332,NP,>150,fibre,clear,1331.88,yes,,Polyester,19,N
CBSS5,Coles Bay,Sea Stars,333,NP,>150,fibre,red,651.94,yes,,Cellulose,19,N
CBSS6,Coles Bay,Sea Stars,#822,NP,>150,fibre,orange,1790.4,no,dropped,,19,N
CBSS6,Coles Bay,Sea Stars,334,NP,>150,fibre,clear,1264.95,yes,,Polyester,19,S
CBSS6,Coles Bay,Sea Stars,335,NP,>150,fibre,blue,1956.81,yes,,Acrylic,19,S
CBSS6,Coles Bay,Sea Stars,336,NP,>150,fibre,pink,266.08,yes,,Polyester,19,S
CBSS6,Coles Bay,Sea Stars,#823,NP,>150,fibre,clear,1494.29,no,dropped,,19,N
CBSS6,Coles Bay,Sea Stars,337,NP,>150,fibre,clear,3981.07,yes,,Polyester,19,S
CBSS7,Coles Bay,Sea Stars,338,NP,>150,fibre,clear,550.35,yes,,Cellulose,19,S
CBSS7,Coles Bay,Sea Stars,339,NP,>150,fibre,clear,885.85,yes,,Cellulose,19,N
CBSS7,Coles Bay,Sea Stars,340,NP,>150,fibre,blue,453.16,yes,,Cellulose,19,N
CBSS8,Coles Bay,Sea Stars,341,NP,>150,fibre,clear,294.55,yes,Could not find for raman,,19,S
CBSS8,Coles Bay,Sea Stars,342,NP,>150,fibre ,purple,340.91,yes,,Polyester,19,S
CBSS9,Coles Bay,Sea Stars,343,NP,>150,fibre,clear,562.06,yes,,Wool,19,N
CBSS9,Coles Bay,Sea Stars,344,NP,>150,fibre ,purple,561.68,yes,,Polyester,19,S
CBSS9,Coles Bay,Sea Stars,345,NP,>150,fibre,clear,472.96,yes,,Polyester,19,S
CBSS9,Coles Bay,Sea Stars,346,NP,>150,fibre,clear,714.34,yes,,Polyester,19,S
CBSS10,Coles Bay,Sea Stars,347,NP,>150,fibre,pink,323.15,yes,,Polyester,19,S
CBSS10,Coles Bay,Sea Stars,348,NP,>150,fibre,blue,123.88,yes,Probably denim,Cellulose,19,S
CBSS11,Coles Bay,Sea Stars,349,NP,>150,fibre,blue,417.44,yes,Probably denim,Cellulose,19,N
CBSS11,Coles Bay,Sea Stars,350,NP,>150,fibre,clear,195.75,yes,,Cellulose,19,S
CBSS12,Coles Bay,Sea Stars,351,NP,>150,fibre,clear,1578.66,yes,,Cellulose,19,N
CBSS12,Coles Bay,Sea Stars,352,NP,>150,fibre,red,759.63,yes,,Cellulose,19,N
CBSS12,Coles Bay,Sea Stars,353,NP,>150,fibre,clear,484.17,yes,,Polyester,19,S
CBSS13,Coles Bay,Sea Stars,354,NP,>150,fibre,black,232.15,yes,,Cellulose,19,S
CBSS14,Coles Bay,Sea Stars,355,NP,>150,fibre,blue,397.87,yes,,Cellulose,19,N
CBSS15,Coles Bay,Sea Stars,356,NP,>150,fibre,clear,219.67,yes,,Salt,19,N
CBSS15,Coles Bay,Sea Stars,357,NP,>150,fibre,black,521.49,yes,,Cellulose,19,N
CBSS15,Coles Bay,Sea Stars,358,NP,>150,fibre,black,794.78,yes,,Cellulose,19,N
CBSS15,Coles Bay,Sea Stars,359,NP,>150,fibre,blue,7713.97,yes,,Polyurethane,19,S
CBSS15,Coles Bay,Sea Stars,360,NP,>150,fibre,red,706.37,yes,,Cellulose,19,N
CBSS16,Coles Bay,Sea Stars,361,NP,>150,fragment,multi-colour,458.86,yes,"Get strong dye sigNAtures on coloured areas. On the clear areas it's a messy sigNAture, but best matches Polyurethane and alkyd resin, both of which are used in paint or varnish. Either way should probably confirm on ATR or micro-FTIR",Paint,19,S
CBSS16,Coles Bay,Sea Stars,362,NP,>150,fibre,black,1080.37,yes,,Polyester,19,S
CBSS16,Coles Bay,Sea Stars,363,NP,>150,fibre,clear,150.56,yes,,Cellulose,19,N
CBSSB1,Coles Bay,Blanks,NA,NA,>150,NA,NA,NA,NA,,,19,NA
CBSSB2,Coles Bay,Blanks,NA,NA,>150,NA,NA,NA,NA,,,19,NA
CBSSB3,Coles Bay,Blanks,NA,NA,>150,NA,NA,NA,NA,,,19,NA
EBSS1,Elliot Bay,Sea Stars,364,NP,>150,fibre,red,3623.61,yes,,Cellulose,20,N
EBSS1,Elliot Bay,Sea Stars,#824,NP,>150,fibre,clear,406.17,no,dropped,,20,S
EBSS2,Elliot Bay,Sea Stars,365,NP,>150,fibre,black,1259.15,yes,Probably denim,Cellulose,20,N
EBSS3,Elliot Bay,Sea Stars,366,NP,>150,fibre,clear,359.27,yes,Strong modal sigNAture and physically looks like rayon,Rayon,20,N
