"","common.names","site","Mean Predicted Trophic Position","Predicted Trophic Position 95% CI","Mean Predicted Concentration by Individual","Predicted Concentration by Individual 95% CI","Mean Predicted Concentration by Wet Weight","Predicted Concentration by Wet Weight 95% CI","Mean Predicted Concentration by Dry Weight","Predicted Concentration by Dry Weight 95% CI"
"1","Red Rock Crab","Victoria Harbour",2.84,"2.75 - 2.93",0.54,"0.52 - 0.55",0.51,"0.46 - 0.57",2.95,"2.46 - 3.64"
"2","Orange Sea Cucumber","Elliot Beach",2.07,"1.69 - 2.75",0.4,"0.39 - 0.41",1.46,"0.19 - 6.2",8.8,"0.86 - 31.98"
"3","Orange Sea Cucumber","Victoria Harbour",2.47,"1.85 - 3.45",0.84,"0.67 - 0.99",0.59,"0.06 - 2.15",4.26,"0.75 - 12.58"
"4","Shiner Surfperch","Coles Bay",3.13,"2.76 - 3.96",1.25,"1.22 - 1.35",3.39,"1.31 - 5.01",25.22,"2.88 - 50.48"
"5","Shiner Surfperch","Elliot Beach",3.34,"3.17 - 3.57",0.52,"0.5 - 0.53",1.45,"0.82 - 2.63",9.86,"4.04 - 24.32"
"6","Shiner Surfperch","Victoria Harbour",3.12,"2.91 - 3.33",0.92,"0.88 - 0.97",3.94,"2.41 - 12.8",23.21,"16.55 - 39.61"
"7","Leather Star","Coles Bay",2.98,"2.27 - 6.72",1.22,"1.13 - 1.92",0.9,"0.18 - 6.4",5.29,"1.29 - 30.17"
"8","Leather Star","Elliot Beach",3.11,"2.49 - 5.86",0.5,"0.47 - 0.63",0.12,"0.05 - 0.24",0.82,"0.3 - 2.13"
"9","Graceful Rock Crab","Coles Bay",2.56,"2.24 - 2.83",0.7,"0.69 - 0.73",1.07,"0.36 - 2.22",6.39,"1.47 - 17.13"
"10","Dungeness Crab","Elliot Beach",2.94,"2.82 - 3.12",0.22,"0.21 - 0.22",0.28,"0.09 - 0.49",1.83,"0.27 - 4.75"
"11","Dungeness Crab","Victoria Harbour",2.67,"2.48 - 3.1",0.43,"0.4 - 0.45",0.35,"0.12 - 0.68",1.87,"0.48 - 5.51"
"12","Blue Mussel","Coles Bay",1.98,"1.51 - 4.44",0.78,"0.74 - 1",4.14,"0.71 - 9.15",105.99,"0.84 - 1039.74"
"13","Blue Mussel","Elliot Beach",2,"1.88 - 2.15",0.35,"0.34 - 0.35",2.83,"1.09 - 7.12",25.14,"7.93 - 60.13"
"14","Blue Mussel","Victoria Harbour",2,"1.82 - 2.35",0.81,"0.75 - 0.85",14.28,"5.62 - 28.14",403.42,"54.9 - 4047.18"
"15","California Sea Cucumber","Coles Bay",2.48,"1.88 - 5.07",0.66,"0.61 - 0.88",10.52,"0.21 - 127.56",14.44,"1.44 - 50.16"
"16","California Sea Cucumber","Elliot Beach",2.31,"2.31 - 2.31",0.28,"0.28 - 0.28",17.27,"17.27 - 17.27",1126.15,"1126.15 - 1126.15"
"17","English Sole","Coles Bay",3.03,"2.74 - 3.36",0.95,"0.92 - 1",1.2,"0.64 - 3.31",6.07,"2.93 - 21.23"
"18","Starry Flounder","Coles Bay",3.19,"2.89 - 3.46",1.26,"1.24 - 1.31",0.96,"0.58 - 1.5",4.83,"3.21 - 6.68"
"19","Pacific Littleneck Clam","Coles Bay",2.18,"2.18 - 2.18",0.76,"0.76 - 0.76",0.96,"0.96 - 0.96",9.16,"9.16 - 9.16"
"20","Manila Clam","Coles Bay",1.82,"1.55 - 2.34",0.67,"0.65 - 0.71",1.03,"0.56 - 1.79",8.75,"3.75 - 25.73"
"21","Manila Clam","Elliot Beach",2.32,"2.08 - 2.84",0.31,"0.3 - 0.31",1.26,"0.28 - 6.5",12.88,"1.84 - 60.05"
"22","Copper Rockfish","Coles Bay",3.2,"3.01 - 3.6",0.73,"0.71 - 0.75",0.36,"0.04 - 0.74",1.46,"0.27 - 3.91"
"23","Copper Rockfish","Elliot Beach",3.72,"3.32 - 4.17",0.3,"0.29 - 0.31",0.04,"0.01 - 0.09",0.32,"0.03 - 1.16"
"24","Copper Rockfish","Victoria Harbour",3.72,"3.5 - 4.07",0.47,"0.43 - 0.5",0.05,"0.02 - 0.08",0.35,"0.15 - 0.9"
"25","Black Rockfish","Elliot Beach",3.41,"3.11 - 3.65",0.5,"0.49 - 0.51",0.11,"0.09 - 0.13",0.55,"0.46 - 0.68"
"26","Black Rockfish","Victoria Harbour",3.57,"3.48 - 3.71",0.8,"0.79 - 0.83",0.11,"0.07 - 0.26",0.67,"0.43 - 0.93"
