ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match
HPSP1,Victoria Harbour,Surfperch Guts,94,NP,>150,fibre,red,624.24,yes,,Cellulose,24
HPSP1,Victoria Harbour,Surfperch Guts,#125,NP,>150,fibre,black,1511.22,no,dropped,,24
HPSP1,Victoria Harbour,Surfperch Guts,95,NP,>150,fibre,black,519.83,yes,,Unknown,24
HPSP1,Victoria Harbour,Surfperch Guts,96,NP,>150,fibre,black,623.05,yes,,Cellulose,24
HPSP1,Victoria Harbour,Surfperch Guts,#126,NP,>150,sphere,gray,42.74,no,tiny,,24
HPSP1,Victoria Harbour,Surfperch Guts,#127,NP,>150,fibre,blue,39.27,no,tiny,,24
HPSP2,Victoria Harbour,Surfperch Guts,403,NP,>150,fibre,black,461.67,yes,,Polyester,24
HPSP3,Victoria Harbour,Surfperch Guts,404,NP,>150,fibre,blue,532.08,yes,,Polyester,24
HPSP3,Victoria Harbour,Surfperch Guts,405,NP,>150,fibre,clear,938.08,yes,,Polyester,24
HPSP4,Victoria Harbour,Surfperch Guts,406,NP,>150,fibre,blue,317.92,yes,Too much fluorescence to get a good sigNAture,Unknown,24
HPSP4,Victoria Harbour,Surfperch Guts,407,NP,>150,fibre,clear,5347.7,yes,Really good match for modal and physically looks like rayon,Rayon,24
HPSP4,Victoria Harbour,Surfperch Guts,408,NP,>150,fibre,green,501.33,yes,,Cellulose,24
HPSP5,Victoria Harbour,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,24
HPSP6,Victoria Harbour,Surfperch Guts,409,NP,>150,fibre,clear,470.78,yes,,Cellulose,24
HPSP7,Victoria Harbour,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,24
HPSP8,Victoria Harbour,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,24
HPSP9,Victoria Harbour,Surfperch Guts,410,NP,>150,fibre,black,893.7,yes,,Polyester,24
HPSP10,Victoria Harbour,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,24
HPSP11,Victoria Harbour,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,24
HPSP12,Victoria Harbour,Surfperch Guts,411,NP,>150,fibre,blue,276.35,yes,,Cellulose,24
HPSP12,Victoria Harbour,Surfperch Guts,412,NP,>150,fibre,brown,375.64,yes,,Polyester,24
HPSP13,Victoria Harbour,Surfperch Guts,413,NP,>150,fibre,black,784.4,yes,,Polyester,24
HPSP14,Victoria Harbour,Surfperch Guts,414,NP,>150,fibre,blue,828.34,yes,Probably denim,Unknown,24
HPSP14,Victoria Harbour,Surfperch Guts,415,NP,>150,fibre,black,1408.96,yes,,Polyester,24
HPSP15,Victoria Harbour,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,24
HPSP16,Victoria Harbour,Surfperch Guts,416,NP,>150,film,clear,132.75,yes,Can't get a good spectra,Unknown,24
HPSP17,Victoria Harbour,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,24
HPSPGB1,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,24
HPSPGB2,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,24
HPSPGB3,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,24
CBSP1,Coles Bay,Surfperch Guts,417,NP,>150,fibre,clear,1185.93,yes,,Polyester,20
CBSP2,Coles Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,20
CBSP3,Coles Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,20
CBSP4,Coles Bay,Surfperch Guts,418,NP,>150,fibre,black,3330.72,yes,,Polyester,20
CBSP5,Coles Bay,Surfperch Guts,419,NP,>150,fibre,blue,1660.07,yes,Probably denim,Unknown,20
CBSP5,Coles Bay,Surfperch Guts,420,NP,>150,fibre,black,479.73,yes,,Polyester,20
CBSP6,Coles Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,20
CBSP7,Coles Bay,Surfperch Guts,421,NP,>150,fibre,pink,814.55,yes,,Cellulose,20
CBSP7,Coles Bay,Surfperch Guts,422,NP,>150,fibre,black,537.94,yes,,Polyester,20
CBSP8,Coles Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,20
CBSP9,Coles Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,20
CBSP10,Coles Bay,Surfperch Guts,423,NP,>150,fibre,red,1085.54,yes,,Cellulose,20
CBSP10,Coles Bay,Surfperch Guts,#826,NP,>150,fibre,clear,492.61,no,dropped,,20
CBSP11,Coles Bay,Surfperch Guts,424,NP,>150,fibre,clear,350.32,yes,,Polyester,20
CBSP12,Coles Bay,Surfperch Guts,425,NP,>150,fibre,black,456.61,yes,,Polyester,20
CBSP13,Coles Bay,Surfperch Guts,#827,NP,>150,fibre,clear,128.55,no,dropped,,20
CBSP13,Coles Bay,Surfperch Guts,426,NP,>150,fibre,clear,365.57,yes,Can't get a good Raman spectra,Unknown,20
CBSP13,Coles Bay,Surfperch Guts,427,NP,>150,fibre,pink,334.18,yes,,Cellulose,20
CBSP13,Coles Bay,Surfperch Guts,428,NP,>150,fibre,clear,778.28,yes,,Cellulose,20
CBSP14,Coles Bay,Surfperch Guts,#828,NP,>150,fibre,clear,353.13,no,dropped,,20
CBSP14,Coles Bay,Surfperch Guts,#829,NP,>150,fibre,clear,79.01,no,#tiny,,20
CBSP14,Coles Bay,Surfperch Guts,429,NP,>150,fibre,green,2646.48,yes,,Cellulose,20
CBSP15,Coles Bay,Surfperch Guts,430,NP,>150,fibre,pink,196.63,yes,,Cellulose,20
CBSP16,Coles Bay,Surfperch Guts,431,NP,>150,fibre,clear,895.43,yes,,Polyester,20
CBSP16,Coles Bay,Surfperch Guts,432,NP,>150,fibre,black,697.38,yes,,Polyester,20
CBSP16,Coles Bay,Surfperch Guts,433,NP,>150,fibre,black,771.87,yes,,Cellulose,20
CBSPGB1,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,20
CBSPGB2,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,20
CBSPGB3,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,20
EBSP1,Elliot Bay,Surfperch Guts,434,NP,>150,fibre,clear,671.54,yes,Too much fluorescence to get a good Raman sigNAture,Unknown,22
EBSP1,Elliot Bay,Surfperch Guts,#830,NP,>150,fibre,clear,131.01,no,dropped,,22
EBSP1,Elliot Bay,Surfperch Guts,435,NP,>150,fibre,black,530.71,yes,,Polyester,22
EBSP1,Elliot Bay,Surfperch Guts,#831,NP,>150,fibre,clear,272.4,no,dropped,,22
EBSP1,Elliot Bay,Surfperch Guts,436,NP,>150,fibre,clear,169.69,yes,Could not find for Raman,,22
EBSP1,Elliot Bay,Surfperch Guts,437,NP,>150,fibre,clear,151.23,yes,,Salt,22
EBSP2,Elliot Bay,Surfperch Guts,438,NP,>150,fibre,black,616.3,yes,,Polyester,22
EBSP2,Elliot Bay,Surfperch Guts,#832,NP,>150,fibre,clear,737.04,no,dropped,,22
EBSP3,Elliot Bay,Surfperch Guts,439,NP,>150,fragment,black,127.06,yes,Could not find for Raman,,22
EBSP3,Elliot Bay,Surfperch Guts,440,NP,>150,fibre,clear,2570.88,yes,,Polyester,22
EBSP3,Elliot Bay,Surfperch Guts,441,NP,>150,fibre,brown,521.8,yes,Can't get a good spectra without burning,Unknown,22
EBSP4,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP5,Elliot Bay,Surfperch Guts,442,NP,>150,fibre,black,1069.84,yes,,Polyster,22
EBSP5,Elliot Bay,Surfperch Guts,443,NP,>150,fibre,red,465.61,yes,,Cellulose,22
EBSP6,Elliot Bay,Surfperch Guts,444,NP,>150,fibre,black,819.85,yes,,Dye,22
EBSP7,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP8,Elliot Bay,Surfperch Guts,445,NP,>150,fibre,clear,305.57,yes,,Unknown,22
EBSP9,Elliot Bay,Surfperch Guts,446,NP,>150,fibre,black,316.93,yes,,Polyester,22
EBSP10,Elliot Bay,Surfperch Guts,447,NP,>150,fibre,clear,674.89,yes,,Cellulose,22
EBSP11,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP12,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP13,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP14,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP15,Elliot Bay,Surfperch Guts,448,NP,>150,fibre,clear,965.68,yes,,Wool,22
EBSPGB1,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,22
EBSPGB2,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,22
EBSPGB3,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,22
CBSP1,Coles Bay,Surfperch Guts,,BB,1-150,fibre,clear,724.79,NA,dropped,,19
CBSP1,Coles Bay,Surfperch Guts,664,BB,1-150,fibre,blue,1015.71,yes,Probably denim,Unknown,19
CBSP4,Coles Bay,Surfperch Guts,663,BB,1-150,fibre,blue,405.6,yes,Too much fluorescence to get a good sigNAture,Unknown,19
CBSP5,Coles Bay,Surfperch Guts,665,BB,1-150,fibre,red,990.1,yes,,Cellulose,19
CBSP6,Coles Bay,Surfperch Guts,,BB,1-150,fibre,clear,980.3,no,dropped,,19
CBSP7,Coles Bay,Surfperch Guts,666,BB,1-150,fibre,black,1073.43,yes,,Unknown,19
CBSP7,Coles Bay,Surfperch Guts,667,BB,1-150,fibre,blue,519.02,yes,Probably denim,Unknown,19
CBSP8,Coles Bay,Surfperch Guts,668,BB,1-150,fibre,blue,3461.09,yes,,Polyester,19
